"","Site","SiteMean","SiteSD"
"1","BANG09",0.928269304621802,0.408811725401797
"2","BANG11",13.5324701129122,18.7377157969119
"3","BANG14",16.6032037264048,2.57776214723157
"4","BANG15",11.3620482590781,8.23335524103117
"5","BANG16",27.2860856855922,21.4083424206196
"6","BANG17",0,0
"7","BANG35",6.23604079862449,5.10867567789745
"8","BANG36",0,0
"9","BANG37",6.68991880932729,3.60116003266993
"10","BANG38",0,0
"11","BANG39",2.22025612807766,0.562353485700185
"12","BANG40",6.7676069320477,5.66203473155719
"13","BANG41",9.95212476713067,4.56982557691222
"14","BANG42",0,0
"15","BANG43",614.467059256556,1054.14895822326
"16","ESP",2772.8844148301,NA
"17","POSITIVE",1723.33314684997,NA
